Count of A1C Result Value,A1c Min Value,A1c Avg Value,A1c Max Value
7,7.5,8,8.8
3,5.5,5.57,5.7
6,6.7,7.22,7.7
8,6,6.5,7.3
6,6.7,7.23,8.1
8,7.2,7.44,7.8
3,5.9,6.33,6.6
4,7.9,8.45,9.1
2,6.7,7.2,7.7
3,7.6,10.27,12.8
4,5.9,6.23,6.7
1,9.4,9.4,9.4
5,6.7,7.34,7.9
3,9,9.2,9.4
4,6.2,6.75,8
5,6.1,7.18,8.5
3,6.3,6.57,6.9
3,9.9,10.57,11.2
5,9,10.04,11.1
5,7.4,8.14,8.6
4,6.8,7.13,7.5
4,7.1,7.45,7.8
8,9.1,11.59,13.3
4,8.1,8.73,9.4
7,7.5,10.3,11.9
4,6.2,6.95,7.7
3,6.1,6.17,6.3
11,6.1,6.5,7
5,6.6,6.78,7.2
7,7.1,7.54,8.1
6,7.9,8.28,8.8
2,6.1,6.2,6.3
4,5.6,6,6.6
4,8.7,9.1,9.3
3,6,6.13,6.3
4,7.5,7.75,8.2
9,6.4,9.41,11.5
5,6.5,7.06,7.6
4,7,8.13,9.6
6,6.7,7.35,7.8
2,7.7,8,8.3
3,7.4,8.4,10.2
5,10,11.34,12.2
7,5.7,7.14,10.5
4,6.5,8.15,10.6
12,7.2,7.71,9.1
4,6.8,7.48,7.9
7,7.2,7.97,9.7
5,6.3,6.78,7.5
4,8,8.48,9
8,6.8,7.46,8.3
4,6.9,8.35,9.9
8,6.4,7.55,9.7
9,6.9,8.18,10.1
6,6,6.22,6.5
8,5.8,6.41,6.8
2,8.2,8.35,8.5
6,9.9,10.95,11.7
5,9.2,10.28,11.6
5,7.5,8.58,9.8
8,6.7,7.26,7.9
6,5.2,7.1,9.1
13,7,7.7,9.6
7,6.2,7.2,8.8
5,6.1,6.54,6.9
4,7.3,7.8,8.2
7,6.2,6.81,7.2
2,7,7.25,7.5
3,5.5,5.67,5.8
3,8.9,9.4,9.7
3,7.5,8.23,9.4
5,7.1,7.5,8
7,7.8,7.96,8.4
1,7.5,7.5,7.5
3,4.6,5.97,6.9
3,6.9,7.33,7.6
1,10.3,10.3,10.3
7,6.7,7.3,8.2
6,6.1,6.43,7
4,6.6,8.13,9.9
8,8.5,9.6,10.3
4,6.1,6.98,7.5
2,7.5,8.7,9.9
7,5.8,6.2,6.5
5,6,7.32,9
3,7,7.33,7.6
14,7.8,10.43,13.1
5,5.4,6.08,6.6
2,5.6,5.65,5.7
1,6.7,6.7,6.7
6,7.2,8.52,9.3
2,6.7,6.75,6.8
5,7.8,8.3,9
6,7,7.88,9.2
4,7.1,7.83,8.7
4,5.9,6.05,6.2
6,5.8,6.23,6.9
9,6.1,7.47,8.2
1,8,8,8
6,8.4,9.1,9.7
5,6.4,8.68,12.1
5,5.3,5.8,6.3
6,7.6,9.12,10.4
5,5.5,6.6,9.3
1,5.7,5.7,5.7
9,9.7,11.19,13.3
3,6.8,7.27,7.9
2,8.8,10.1,11.4
2,7,7.4,7.8
4,7.4,7.95,9
8,8.2,9.69,11.8
8,7.4,7.91,8.6
6,8.4,9.02,9.5
6,5.1,5.42,5.7
10,6.3,7.31,8.1
7,6.6,6.96,7.7
5,7.4,8.12,9.4
5,8.8,10.44,11.3
3,6.3,6.43,6.6
3,6.3,6.53,6.7
5,7.5,8.56,9.7
7,6.5,8.96,11.8
5,6.2,6.74,7.2
5,6.6,7.92,9
3,6.7,6.9,7.2
3,7.3,7.67,7.9
9,7.6,9.36,11.1
4,5.4,9.88,13.8
7,6.6,7.09,7.6
6,8.2,8.97,9.8
3,10.3,11.4,12.9
7,6.3,6.79,7.3
3,6,6.43,6.8
3,6.4,6.6,6.9
4,7.3,8.65,10.4
5,7.6,8.48,9.2
3,8.7,9.6,10.7
2,10,10.6,11.2
1,9.6,9.6,9.6
4,11.4,12.33,13.7
1,9.8,9.8,9.8
1,9,9,9
4,6.4,6.53,6.7
3,7.3,7.47,7.7
3,11.2,13,14
3,7.2,8.17,8.7
4,6.2,7.05,7.8
5,5.8,6.6,8.3
1,12,12,12
7,6.8,9.56,11.7
7,7.9,11.13,13.9
4,9.4,9.95,10.6
9,7.2,7.96,8.6
5,6.8,6.88,7
1,10.2,10.2,10.2
4,7.1,7.85,8.6
6,5.8,6.78,9.2
5,7.7,9.36,10.4
5,7.1,9.04,13.5
2,7.4,7.55,7.7
5,6.9,7.04,7.3
6,6.8,7.32,7.7
6,7.4,7.82,8.1
2,6.5,7.4,8.3
6,5.1,5.75,6.4
4,6.4,7.05,7.6
3,8.6,10.03,11.5
4,5.8,6.03,6.2
4,6.3,6.5,6.7
8,6.7,7,7.2
1,5.9,5.9,5.9
11,6.8,8.01,9.9
8,10.4,11.26,12.3
2,7.5,7.5,7.5
3,7.5,8.7,9.5
3,8.4,10.47,12.9
5,8.9,10.38,12.1
4,6.3,7.33,8
10,5.8,6.4,7
11,7.3,8.05,8.9
3,7,8,9.1
5,6.5,9.04,12.4
7,6.4,6.74,7.1
9,7.1,7.92,8.5
5,5.4,5.56,5.7
7,7,7.7,9.2
8,9.1,11.98,15
8,7.2,9,10.8
2,7.5,7.5,7.5
2,11.2,12,12.8
8,3.5,5.9,6.6
3,5.4,5.73,6.2
6,7.2,7.63,9
5,5.2,6.42,7.9
9,5.8,6.21,6.7
8,4.8,4.91,5.2
7,5.4,5.49,5.6
3,8.6,9.13,9.9
8,7.1,8.28,10.1
1,8.7,8.7,8.7
13,5.7,5.98,6.2
8,6.9,7.29,7.7
19,5.1,5.62,6.1
3,6.4,6.8,7.4
3,7.5,8.5,9.3
6,7.8,8.35,9.2
5,7.4,8.28,9.3
2,6.2,6.65,7.1
6,8,8.65,10.1
17,5.4,6.73,10.9
4,7.3,7.78,8.5
4,6.5,7.68,8.8
8,6.3,6.71,7.3
4,6.3,8.28,9.3
5,7,7.56,8.1
5,8.5,10.12,11.7
4,6.8,8.68,10.1
5,6.6,7.9,8.9
4,9.6,10.4,11.8
2,12.6,13.3,14
6,6.5,7.28,8.1
3,6.5,7.03,7.5
10,5.9,7.28,8.7
5,8.6,9,9.8
1,7.3,7.3,7.3
5,9.3,10.04,10.6
1,5.4,5.4,5.4
9,7.1,7.46,7.8
1,6.1,6.1,6.1
1,5.4,5.4,5.4
9,6.2,8.36,12
5,5.8,6,6.1
2,9.7,9.8,9.9
2,6.5,6.55,6.6
7,6.4,6.56,6.8
5,5,5.98,6.8
8,9.1,11.63,13.7
2,6.4,6.55,6.7
6,5.2,5.72,6.1
2,7.8,8.95,10.1
5,6.1,6.5,7.1
4,7.9,9.05,10.1
4,8.8,10.58,11.8
5,8.2,8.76,9.3
1,10.2,10.2,10.2
4,4.9,5.25,5.6
3,8.3,8.93,9.6
7,6,6.7,7.5
5,8,9.34,11.8
6,6.5,6.63,6.8
3,9.9,10.73,11.2
4,6.2,6.58,7
3,6.3,7.03,7.9
9,5.8,6.94,7.5
2,14,14.05,14.1
5,6.2,7.16,8.3
7,8.5,11.54,15.2
4,5.8,6.45,7.3
5,5.2,5.5,5.9
7,5.7,5.97,6.3
4,6.2,6.98,7.4
9,5.4,9.34,13.6
6,7.7,9.85,11.6
1,12.8,12.8,12.8
4,6.9,7.15,7.4
7,7.7,8.37,9.3
8,5.6,7.34,9.6
6,5.8,6.25,6.6
8,7.3,8.25,9.2
8,6.8,7.6,8.9
9,6.6,7.33,7.8
6,7.6,7.85,8
6,6.2,6.98,8.2
3,8.2,8.97,10
3,7.6,9.27,11.6
6,7.5,9.13,11.3
9,7.3,10.42,12.7
7,7,8.29,9.8
4,5.5,5.65,5.9
7,5.9,6.87,7.8
13,5.8,6.55,7.5
8,9.3,10.18,11.5
4,7.5,8.48,10
6,7.2,7.47,7.8
3,9.2,9.33,9.5
3,7.6,9.83,13
7,5.2,6.53,8.8
3,7,7.3,7.7
3,5.6,5.77,6
3,7,7.63,8.3
6,8.6,9.93,11.8
6,6.2,7.57,9.5
10,7,8.33,9.6
4,6.4,8.18,9.5
3,7.6,9.3,11.8
4,6,6.25,6.6
5,7.1,8.28,9.4
3,9.9,11.27,12
3,8.2,8.57,9.2
2,7.3,7.4,7.5
5,5.9,6.92,8.2
6,8.8,10.97,13.5
5,6.4,6.68,7.3
5,6.4,7.04,7.4
6,6.7,7.13,7.8
3,8.1,8.83,9.4
8,6.7,7.35,8
6,4.9,5.22,5.5
1,4.9,4.9,4.9
3,6.9,7.37,7.9
6,7.3,7.75,8.2
4,8.8,9.1,9.6
1,7.7,7.7,7.7
5,8.6,9.58,10.5
6,8,8.4,9.6
3,5.4,5.7,6
4,8.6,8.98,9.3
5,7.5,8.36,8.8
4,7.1,7.6,8.7
3,7.2,8.67,11.5
4,8.1,8.55,8.8
4,5.5,5.7,6
3,5.4,5.8,6.2
4,5.1,6.28,6.9
7,7.9,8.26,8.9
2,8.1,8.35,8.6
9,8.1,9.08,9.9
4,6.6,7.65,8.4
6,8.5,9.7,10.7
13,7,7.48,8.7
5,10.8,11.94,14
3,6.7,6.9,7.2
5,8.7,9.58,10.8
2,7.8,8.4,9
9,6.3,7.92,9
1,10.2,10.2,10.2
1,5.2,5.2,5.2
9,8.6,9.38,10.2
4,5.6,5.88,6.3
4,5.4,5.48,5.6
1,5.9,5.9,5.9
5,8.3,8.9,9.6
2,6,6.1,6.2
2,10,10.6,11.2
2,6.2,6.35,6.5
3,5.9,6.27,6.7
3,5.7,5.97,6.1
5,7.2,7.8,9
6,6.7,7.12,7.6
7,5.2,7.81,11.9
1,9.5,9.5,9.5
7,5.4,6.14,7.2
6,6,6.63,7.4
5,5.7,6.02,6.3
3,6.7,6.83,7
5,7.2,8,8.4
8,7.6,8.16,9.1
3,6,6.27,6.6
8,6.7,7.5,8.1
4,6.3,6.55,6.9
8,6.5,7.5,9.2
8,11.5,12.4,14
6,6.7,8.43,12
5,7.8,8.02,8.3
3,6.6,7.3,8.3
4,7.1,8.83,10.9
7,6.3,6.91,7.6
14,6.3,7.39,9.2
3,5,5.23,5.6
4,6.6,7.3,7.9
8,6.6,7.2,7.9
4,5.9,6.28,6.5
5,7.8,8.42,9.4
2,7.2,7.25,7.3
4,6.4,6.85,7.4
3,9.5,9.77,10.2
4,8.2,9.9,11.5
5,6.2,6.52,6.8
7,7.4,8.47,10.6
3,8.5,9.4,11
5,5.3,5.78,6.1
2,6,6.5,7
3,8.9,9.47,9.8
6,6.9,7.63,10.1
3,5.7,6.43,7.4
2,6.9,7.75,8.6
2,6.5,6.55,6.6
4,8.3,8.5,8.8
2,5.6,6.3,7
4,8.5,9.1,9.5
1,8.2,8.2,8.2
2,5.3,5.5,5.7
3,7.8,8.5,9
3,10,11.2,11.8
4,5.7,6.58,7.2
8,4.7,5.21,5.5
2,5.3,6.1,6.9
5,8.5,9.36,10.8
9,6,6.64,8
6,7.1,8.85,10.9
6,10.9,11.55,12.6
2,5,5.85,6.7
3,7.7,9.3,10.4
8,5.2,5.81,6.9
1,9,9,9
5,6.7,7.18,7.5
3,6.4,6.63,6.9
6,6,6.88,8.3
3,6.4,7.1,7.8
7,7.8,9,9.7
3,9,10.5,13.2
5,6.6,7.1,8.6
5,7.3,8.38,9.9
3,5.6,5.6,5.6
4,5.4,6.6,7.6
3,6.8,7.8,9.1
2,8.8,9.75,10.7
6,6.3,8.12,10.2
5,7.9,8.82,9.6
6,7.9,8.38,9.8
11,4.7,6.04,8.3
6,9.9,10.97,11.8
5,6.2,6.8,7.3
6,6.2,6.68,6.9
4,9.5,10.3,11.2
4,5.9,6.9,8
4,6.1,7.03,7.5
10,5.2,5.54,5.9
4,8.6,9.43,10.6
8,7.9,8.61,9.3
6,6.5,6.78,7.2
9,7,7.92,9.3
1,4.1,4.1,4.1
7,5.4,6.39,7.6
7,6,6.64,7.3
8,7.2,7.95,8.6
5,9.5,10.06,11.1
6,5.5,5.73,5.9
2,5.9,5.95,6
11,5.4,6.5,8
5,5.4,6.74,7.6
5,7.8,8.36,9.2
5,6.6,7.14,7.5
6,6.6,6.97,7.4
4,5.3,5.85,6.5
6,8.5,9.87,11.6
6,11.4,12.38,14.2
3,6,7.1,7.9
1,10.5,10.5,10.5
2,6.2,6.95,7.7
3,6,6.13,6.3
6,5.6,5.92,6.2
7,7.7,8.27,9.6
4,7.3,7.9,9.1
8,6.5,7.2,8
3,7.9,8.1,8.5
1,8.3,8.3,8.3
1,13,13,13
2,5.5,5.5,5.5
7,6.8,7.07,7.4
3,5.1,5.2,5.3
3,6.9,12,15.1
5,7.5,8.96,10.7
7,6.2,8.4,10.4
7,7.9,10.21,12.8
2,7.5,7.65,7.8
7,5.3,5.56,5.8
13,7.2,9.67,13.4
8,6,6.89,8
6,9.2,9.95,11.8
4,6.6,6.95,7.3
3,9.8,10.4,10.8
4,8.6,9.4,11
4,6.9,7.1,7.5
1,5.7,5.7,5.7
6,6.8,7.75,9
6,5.5,6.02,6.9
5,6.2,6.92,7.3
10,3.8,5.4,10.2
3,10.5,12,14.9
7,5.8,6.13,6.5
6,7.7,8.42,9.1
3,5.6,6.23,7.2
3,6,6.8,8.3
1,6.3,6.3,6.3
8,8.7,9.91,10.8
3,6,6.73,7.2
5,7.8,7.98,8.1
6,8.9,9.65,10.2
5,7.7,8.38,9.1
6,5.1,5.22,5.3
5,6,9.66,12.1
7,6.5,7.24,8.4
3,11.1,11.33,11.6
7,6,7.1,8
7,7.8,9.84,10.9
7,7.3,8.01,8.9
3,6.4,6.73,7.2
5,6,6.34,6.5
2,7.2,7.2,7.2
2,8.2,8.3,8.4
4,6.9,7.53,7.9
4,5.4,5.7,6
5,7,7.8,8.5
6,8.6,9.27,10.9
7,6.4,6.86,7.9
4,5.9,6.28,6.8
3,7.1,7.43,7.7
3,5.8,6.37,6.7
3,7.3,9.2,12.3
4,4.9,5.35,5.6
4,6.5,6.68,6.8
3,10.6,12.9,14.3
9,6.6,8.84,11.5
5,6.3,8.16,9.2
2,7.1,7.4,7.7
11,7.4,8.45,9.4
2,12.9,12.95,13
7,5.4,5.84,6.3
5,8.2,8.86,9.4
4,5.9,6,6.1
5,6.9,7.2,7.5
5,7.1,7.32,7.8
3,7.6,7.63,7.7
6,8.5,9.85,12.6
5,7.2,10.94,14.4
3,9.8,10.47,11.2
7,8,8.97,9.7
7,8.5,9.14,9.6
7,6.6,8,9.4
5,6.5,9.32,13.4
11,8.2,9.78,13.9
17,5.8,6.45,7.5
5,5.8,6.4,7.6
4,6.1,6.35,6.7
2,7.1,7.3,7.5
7,6.7,7.23,8
6,8,9.1,9.9
3,6,9.47,11.9
4,5.9,6.05,6.2
2,8.6,8.75,8.9
5,7,7.56,8
4,6.3,6.95,7.7
3,5.2,7.2,10.6
5,5.9,6.78,8.7
4,6.4,6.83,7.1
6,8.1,8.92,9.7
5,6.8,8.46,11.7
5,6.3,6.48,6.7
4,5.1,5.68,6
3,6.5,7.5,9.3
4,6.6,6.8,7.2
2,7.2,7.35,7.5
9,7.5,8.51,10
9,5.5,5.96,7
12,4.6,6.03,8
2,7.7,7.85,8
3,11.1,12.1,13.3
4,5.5,5.78,6.1
6,7.4,8.35,9.8
7,6.8,7.49,8.9
3,8,9.53,10.3
3,6.9,7.33,7.8
5,7.9,8.98,9.8
1,10.5,10.5,10.5
3,6.2,6.2,6.2
4,9,10.15,11.1
5,7,7.82,8.9
5,8.1,8.84,9.4
7,8.3,9.04,9.6
3,5.5,5.83,6.2
3,10,10.9,11.6
8,7.9,8.58,9.7
6,7.4,8.83,10.1
3,8.8,11,12.2
4,8.2,9.28,10.1
15,8,8.93,10.9
2,7,7.55,8.1
4,9,9.95,10.9
14,5.1,6.69,8
2,6.2,6.2,6.2
3,8,8.3,8.5
2,10.1,10.15,10.2
2,8.1,8.55,9
5,6.1,6.18,6.3
5,7.2,7.64,8
10,5.6,6.48,7.7
6,6.4,7.1,7.5
2,8.4,10.95,13.5
6,5.9,6.37,7
5,7.8,8.92,9.4
3,8.4,8.73,9.2
10,8,9.03,11.6
17,6.5,7.28,7.8
3,8.6,8.97,9.3
4,10.5,11.7,13.4
4,8.8,9.93,11.5
5,4.3,4.72,4.9
7,6.9,7.39,7.8
6,5.7,6.37,7.6
3,7.7,8.7,9.3
5,6,6.42,6.7
5,6.5,7.6,8.7
4,6.9,7.6,7.9
7,6.4,7.79,8.9
4,8,9.33,11.5
4,9,9.88,10.8
9,6.1,6.76,7.8
6,8.8,9.22,10
1,7.2,7.2,7.2
6,6.2,6.37,6.5
7,7.1,7.57,8.8
4,9.2,9.53,9.9
2,6.4,6.5,6.6
4,9.6,10.88,12.1
6,6.4,6.6,7
6,5.8,6.6,7.7
11,5.6,6.19,7.8
3,7.6,8,8.2
3,7.5,8.23,9.2
4,7.3,7.98,8.7
4,5.8,5.93,6.1
8,7.1,8.23,9.9
4,7.6,8.6,9.5
4,8.3,9.35,11.4
6,4.9,5.13,5.3
3,9.3,11.3,13.6
2,12.8,13.4,14
4,7.3,7.63,8.1
5,6.6,8.36,10.1
6,8.8,9.48,10.4
6,7.1,8.15,9.1
3,7.9,8.8,10.2
3,7.2,7.93,8.4
5,7,8.18,9.4
11,5.3,6.03,7.2
1,8.4,8.4,8.4
2,7.2,8.05,8.9
10,11.2,11.84,13.2
3,5.2,5.27,5.3
3,6.4,6.7,7.2
8,6,7.38,9.9
5,7.4,7.92,9.3
1,11.2,11.2,11.2
4,7,7.6,8.1
5,5.8,6.6,7.5
3,7.2,10.67,12.5
6,7.9,9.48,11.2
4,5.2,5.98,6.8
3,7.7,7.97,8.2
6,5.8,6.23,6.7
3,7.4,8.13,9.3
5,7.3,8.28,9.5
4,7.7,9.05,9.7
6,6.8,7.12,7.7
5,8.2,8.98,10
1,5.4,5.4,5.4
7,11.6,12.8,14
7,6.8,7.07,7.4
12,6.8,8.2,10.1
7,9.2,10.1,11.8
5,8.7,9.04,9.6
8,7,7.99,9.2
15,7.5,12.25,17.6
5,10.5,11.42,13.8
5,7.6,8.64,10.6
2,5.8,6.1,6.4
2,8.2,8.85,9.5
8,7.1,7.83,8.2
6,12.1,13.58,14
3,5.8,7.03,8.6
4,4.9,5.1,5.5
5,6.8,7.12,7.3
6,7.5,8.65,9.7
5,8.6,9.78,11.2
3,8.4,9.1,10
6,9.6,10.53,11.4
1,9.4,9.4,9.4
4,7.1,7.33,7.8
3,6.9,7.3,7.7
7,5.6,5.81,6.2
4,6.3,7.3,7.9
7,8.5,10.01,11.1
2,11.7,12.45,13.2
6,5.8,6,6.4
6,10.3,11.63,12.6
3,7.5,8.6,10.1
5,6,7.4,9.9
2,5.7,5.7,5.7
3,7.4,9.47,13.3
3,8.1,8.33,8.6
8,6.3,7.45,9.2
4,5.2,5.53,6.5
5,8.1,11,12.6
7,6.9,7.8,8.6
3,8,9.1,9.7
3,7.3,7.93,8.6
1,12.2,12.2,12.2
11,8.2,9.21,10.3
5,5.5,6.38,9
6,6,6.63,8
2,6.4,6.45,6.5
3,10.2,10.73,11.4
6,6.8,7.87,8.9
1,5.1,5.1,5.1
7,7.4,8.24,9.4
3,5,5.07,5.2
5,5.1,5.24,5.4
4,6.8,6.88,7
1,9,9,9
4,6.6,8.15,9.3
7,7.3,7.67,8.4
9,7.2,7.78,9
5,8,8.76,9.6
1,6.4,6.4,6.4
8,5.4,5.7,6.4
1,7.9,7.9,7.9
12,5.1,6.83,9.1
5,5.7,6.04,6.2
4,7.1,7.5,8.3
1,14,14,14
2,7.3,7.7,8.1
5,5.7,5.98,6.4
5,9.5,10.82,12.1
5,6.1,6.34,7.2
2,5.1,5.15,5.2
5,7.4,8.32,8.9
6,7.4,8.82,9.7
11,7.3,7.93,8.8
4,5.4,6.15,6.7
7,5.5,6.64,7.5
4,5.6,6,6.4
3,6.5,7.07,7.7
4,5.3,5.45,5.6
6,8.1,8.65,9.5
5,7.6,8.28,9.3
2,8.1,8.8,9.5
5,6.3,6.82,8
4,6.8,8.63,10.8
4,6.4,7.3,8
1,10.6,10.6,10.6
3,6,6.67,7.6
7,6.7,7.66,9
5,7.4,8.6,9.3
11,5.7,6.32,6.8
5,7,7.36,7.8
2,4.9,5,5.1
3,7.3,7.57,7.9
3,5,6.7,8.8
4,6.1,7.93,10.3
4,5.9,7.08,8.1
9,6.9,7.33,8
5,6.2,6.62,6.8
5,5.9,7.98,10.3
4,6.3,8.43,10
6,7.2,9.68,12.1
4,7.1,7.2,7.4
5,7.8,8.42,8.9
4,6.1,6.68,7.2
6,6.4,7.45,8.7
2,6.6,7.2,7.8
3,6.5,6.97,7.6
8,7.4,8.55,11
2,6.7,7.45,8.2
7,7.2,8.1,9.4
1,8.6,8.6,8.6
10,7,7.49,8.2
4,8.8,9.4,10
5,7.6,8.12,8.7
5,5.3,5.44,5.6
6,6.1,7.88,9.7
6,5.8,6.07,6.6
5,6.9,7.56,7.9
7,6,7.29,8.7
3,7.2,7.97,9.3
2,10,12,14
2,7.6,7.95,8.3
3,8.3,9.03,9.9
1,9.6,9.6,9.6
2,13.7,13.75,13.8
3,5.9,6.73,7.3
5,8.8,9.48,10.2
4,8,9.13,10.2
7,7.2,8.31,10
4,10.3,11.05,11.7
5,9.4,9.98,10.5
4,5.5,5.75,6.3
5,7.8,8.32,8.7
2,5.6,6.05,6.5
11,6.9,7.5,8.4
4,6.9,8.53,10
2,6.2,6.55,6.9
5,8,8.14,8.4
8,8.1,8.66,9.1
9,5.9,6.34,6.6
3,5.8,6.1,6.3
12,5.5,5.9,6.3
7,6,6.73,7.5
2,9.8,10.65,11.5
4,8,9.33,10.5
2,6.1,7.45,8.8
4,10.2,11.05,11.5
10,7.7,9.43,11.5
4,6.5,6.83,7.2
7,5.3,6.01,6.7
1,7.1,7.1,7.1
7,9.3,11.33,12.7
5,7.7,8,8.3
5,8.4,8.98,9.7
4,7.9,8.15,8.4
1,12.2,12.2,12.2
5,8.4,8.82,9.6
3,8,8.97,10.2
4,6.3,7.25,7.8
6,5,5.37,5.9
4,8.4,8.7,9.3
4,13.9,16.55,20.1
3,7.9,9.57,10.6
5,7.7,8.34,8.9
5,7.3,7.64,8
4,6.4,12.55,15.3
3,9.5,10.27,11.2
1,5.5,5.5,5.5
9,4.3,4.76,5.2
5,6.7,6.96,7.3
5,7.1,7.24,7.5
3,5.1,5.57,5.9
1,7.6,7.6,7.6
8,7.3,8.2,9.1
7,8,8.51,8.9
3,6.3,6.83,7.4
7,6.5,6.64,6.8
1,5.1,5.1,5.1
7,5.8,6.06,6.5
9,8.4,9.16,10.2
4,6.2,6.83,7.8
3,7.4,7.9,8.3
5,5.6,6.2,6.6
7,6.5,6.97,7.2
5,7.4,8.24,9
4,5.7,5.88,6
1,8.9,8.9,8.9
7,6.2,6.63,7.4
4,6.5,6.7,7.1
5,6.4,7.46,9.4
7,9.9,12.57,14
11,5.5,6.5,7.4
7,10.8,12.2,14
4,5.2,5.43,5.8
5,6.4,7.76,9.5
2,10.7,10.9,11.1
5,9.5,10.76,12.1
7,5.7,6.07,6.4
4,6,6.13,6.2
5,6.8,7.52,8.4
7,6.1,6.39,6.9
1,9.5,9.5,9.5
4,8,9.53,11.2
5,10.7,12.54,13.9
6,9,11.55,13.1
1,13.8,13.8,13.8
2,11.3,11.8,12.3
3,8.4,9.43,10.1
2,8.5,8.65,8.8
5,6.8,7.28,7.9
7,5.1,7.23,8.4
3,7.6,8.43,9.3
3,6.4,7.9,9.7
10,7.9,8.57,9.2
4,7,7.55,8.2
5,7.7,8.12,9
1,6.8,6.8,6.8
2,7.1,8.55,10
4,6.4,7.98,10
3,6.3,8.1,9.1
5,8.5,10.38,12.4
6,5.9,6.15,6.4
9,6.5,7.51,8.6
8,6,6.29,6.5
6,7,10.38,13.2
7,6,10.84,14
3,5.9,7.03,7.7
4,6.4,7.53,8.5
2,9,10.7,12.4
3,5.3,5.53,5.9
2,5.9,6.3,6.7
1,6.5,6.5,6.5
11,5.6,6.35,6.8
4,6.7,7.15,7.5
3,6.7,7.8,9.1
1,6.5,6.5,6.5
1,5.8,5.8,5.8
11,8.6,9.37,10.3
7,7.2,7.76,8.2
5,5.5,6.08,6.4
9,5.6,6.12,6.5
2,7.2,7.25,7.3
3,6.9,7.97,8.9
4,8.4,10.23,11.6
11,6.2,7.06,7.7
3,7.2,7.43,7.6
5,6.2,6.64,7
6,5.3,5.63,6.1
3,7.5,8.2,8.6
3,6.4,6.73,7
1,6.5,6.5,6.5
3,6.7,7.2,8.1
3,8.2,8.23,8.3
8,5.5,7.35,9.7
7,7.2,8.2,9
1,6.8,6.8,6.8
2,7.7,7.75,7.8
5,6.3,6.6,6.8
2,7.4,10.4,13.4
8,6.5,7.23,8.1
3,6.2,6.47,6.9
7,5.1,6.41,7.2
3,9.8,10.5,11.8
2,6,7.2,8.4
3,6.1,6.43,6.8
5,7.5,9.58,12
3,9.1,10.07,11.3
6,5.8,6.13,6.4
5,6.7,7.08,7.6
2,7.1,7.85,8.6
4,7.8,9.55,11.5
7,6.2,6.64,7.1
6,6.1,6.28,6.5
6,7.2,8.8,13.8
3,7.7,9.83,13
5,7.5,9.1,10.5
4,6.1,6.7,7.2
4,6,6.3,6.7
3,7.3,8.53,10.6
6,7.8,9.68,11.8
7,9.1,10.09,11.5
7,7.8,8.14,9
4,6.9,7.03,7.2
2,5.7,5.75,5.8
11,6.9,7.91,9
8,6.3,6.58,6.9
2,6.2,6.55,6.9
2,12,12.65,13.3
3,10.2,11.23,12.4
2,9.1,10.65,12.2
2,8.4,8.6,8.8
6,5.2,6.12,6.8
2,8.3,9.3,10.3
6,5.7,6.42,8.4
4,9.3,9.55,10.2
5,5.4,5.64,6
5,5.7,5.98,6.7
5,10.1,10.68,11.5
13,5.8,6.42,7
9,9.5,10.28,11.3
3,6.8,7.6,8.1
5,6,6.58,7
6,6.5,7.05,7.5
2,8.2,9.7,11.2
3,8.4,8.63,8.9
5,12.4,12.76,13.2
10,5.7,6.21,6.9
4,7.3,8.18,9.2
5,7.7,8.18,8.5
2,9.3,9.65,10
3,8.9,9.53,10.6
14,6.3,6.84,7.9
8,8.8,13.08,14.9
4,5.8,6.13,6.3
5,7.3,10.94,12.6
9,6.7,7.1,7.5
3,9.6,12.5,14.1
5,5.6,5.86,6.1
3,7.3,9.87,13.9
5,7.8,8.28,9.2
3,5.4,5.67,6
6,7.1,7.4,8
4,4.4,4.58,4.8
4,7.8,9.53,10.7
3,7,7.83,8.4
3,7.3,7.67,8.1
11,7.1,8.32,10.1
7,5.7,6.03,6.5
2,5.4,6.9,8.4
7,8,9.54,11.8
3,6.2,6.27,6.4
3,10.2,11.03,12.5
2,7.2,7.8,8.4
4,6.4,6.55,6.8
4,6.6,6.7,7
5,8.3,10,12
6,6.9,7.77,9.2
1,5.2,5.2,5.2
5,6.3,7.26,8.9
5,6.3,7.02,7.9
4,5.5,6.38,8
6,6.7,7.57,8.2
6,5.9,6.48,7
6,7.5,8.37,9
5,5.4,5.66,6.3
1,11.6,11.6,11.6
6,7.6,8.63,10.4
6,7.4,9.58,12.1
4,7.5,7.6,7.7
4,7,8.58,11.9
1,7.2,7.2,7.2
2,8.5,8.5,8.5
7,7.1,8.91,10.6
4,6.3,6.55,6.7
3,6.6,7.37,8.7
1,5.5,5.5,5.5
11,9.3,12.17,17.7
1,9,9,9
8,6.9,7.66,9.5
6,8,10.2,14
3,6.1,6.33,6.7
4,8.6,10,11.9
5,6.5,7.44,8.4
5,5.8,6.14,6.4
9,7.3,8,8.6
3,6.2,7.13,8.2
5,9.1,10.16,11.1
6,5.7,6.38,7.2
7,10.8,11.69,12.4
2,8.4,8.9,9.4
5,7.9,10.24,12.4
9,7.7,10.44,12.8
2,5.7,5.75,5.8
3,5.8,6.6,7.3
4,6.5,6.98,7.6
7,6,6.6,6.9
5,7,7.38,7.8
8,6,7.84,8.6
3,9.9,10.07,10.3
4,8.6,8.9,9.2
3,7.7,8.13,8.8
