Count of A1C Result Value,A1c Min Value,A1c Avg Value,A1c Max Value
4,6,6.35,6.5
2,7.1,7.2,7.3
4,6.2,6.38,6.5
5,9.2,10.3,11.6
7,6.7,9.21,14
4,7.8,8.48,9.1
2,6.8,7.4,8
4,7.8,7.98,8.1
4,7.3,8.03,8.4
5,7,9.3,13.3
12,6.8,8.33,10.4
4,8.6,9,9.3
5,5.7,7.4,9.6
1,7.3,7.3,7.3
7,7.5,8.63,9.5
3,9.7,11.33,13.3
12,7,7.93,9.2
2,6.4,7.4,8.4
8,4.3,4.86,5.3
2,7.2,7.65,8.1
5,6.3,6.58,6.9
1,5.7,5.7,5.7
3,10,11.17,11.8
6,6.7,6.98,7.4
6,6.9,7.15,7.6
4,6.6,7,7.3
7,5.7,7.93,10.4
5,8.5,9.58,10.4
5,6.8,7.94,9.4
10,6.7,6.94,7.2
2,7.7,7.85,8
2,8,8,8
3,6.8,7.23,7.6
4,5.7,6.18,6.6
9,7.2,8.98,10.4
1,9.4,9.4,9.4
4,6.4,6.8,7.6
5,7.4,8.68,11.9
7,5.9,6.09,6.2
7,7.3,8.64,10
6,6.6,7.27,8.3
8,7.1,8.28,9.3
6,6.5,6.95,7.4
4,9,9.6,9.8
11,5.6,7.52,8.5
3,7.2,7.5,7.7
6,7.6,8.43,9.3
3,6.5,7.33,8.1
7,7.8,8.89,10.3
4,7.1,7.35,7.6
6,9.6,10.75,12.4
6,8.1,8.33,9
2,9.3,9.75,10.2
5,8.8,9.18,9.6
7,7.8,8.3,9
3,9,10.67,12.1
3,6.2,6.37,6.6
3,7.9,8.37,9.2
5,6.5,6.96,7.4
6,8,8.43,9
3,7.3,7.87,8.6
8,5.7,7.33,9.4
9,6.4,7.4,8.4
3,7.7,8.47,9.1
4,7.8,8.15,9
5,5.8,6.86,7.6
5,7.2,8.54,10
5,7.3,8.64,9.4
5,7.4,7.98,8.7
7,6.3,6.89,7.6
6,7.5,8.35,9.2
2,6.5,6.7,6.9
8,7,7.83,8.7
4,7.4,8.55,9.7
5,7.1,7.7,8.4
3,8.5,8.93,9.6
3,6.7,6.8,7
7,10.4,11.23,12.5
6,6.7,7.15,8.1
11,6.9,7.57,8.3
1,8.4,8.4,8.4
6,5.6,5.67,5.7
3,6.9,7.13,7.3
6,11.7,12.88,13.4
8,9.2,10.41,11.8
4,5.9,7.8,10
5,5.8,6.72,8.1
5,7.3,8.16,8.8
5,7.1,7.36,7.7
5,8.1,10.02,14
3,7.6,8.37,9.5
5,4.8,6.12,8.9
4,6.6,7.05,7.3
8,7.1,7.55,8.4
8,8.2,9.79,11.5
7,6.7,7.83,9.6
6,5.7,6.93,9.8
6,5.9,6.35,6.8
4,7.6,8.98,10.3
4,9,9.73,10.2
8,9.8,11.06,12.1
6,6.2,7.22,8.1
7,8.9,10.77,12.9
7,7.1,8.46,9.8
6,7.7,9.38,11.5
13,7.1,9.07,12.4
3,6.8,7.83,8.6
9,6.1,6.48,7
4,6.3,7.65,10.5
4,7.7,8.73,9.7
9,9,9.76,10.3
6,8.1,10.52,12
5,6.4,6.76,7.1
9,7.2,8.48,10.4
5,5.7,5.86,5.9
8,7.3,8.75,10.4
4,7.6,8.35,9
13,5.4,6.85,8.8
2,5.8,7.85,9.9
9,7.8,8.29,8.8
4,8.8,9.28,9.7
4,6.9,7,7.1
3,6,6.27,6.6
6,7.2,8.05,8.9
4,7.4,8.88,9.4
7,6.3,7.66,9.7
5,6.9,7.04,7.5
3,5.6,5.73,5.9
4,6.9,7.43,8.2
8,9.3,10.25,12
7,6.3,7.44,9.9
3,6.4,6.9,7.3
5,7.5,9.12,11.4
13,7,7.41,8.2
12,6.8,9.09,12.6
10,6.9,8.5,12.1
3,9.1,9.87,11.3
1,9.5,9.5,9.5
7,9.6,10.03,11.2
9,5.7,5.89,6
8,7.3,8.05,8.9
4,10.2,11.25,12.8
7,5.4,5.79,6.3
5,8.1,9.16,10.4
1,7,7,7
6,9.8,10.77,12
9,5.5,6.04,7.6
4,6.4,7.98,9.6
3,5.3,5.63,6.2
5,7.3,8.26,9.1
8,9.2,10.84,13.6
8,5.7,7.05,8.2
6,6.2,6.58,7
5,6.6,7.56,8.6
3,6.3,7.63,9.1
6,6.1,6.37,6.5
5,7.6,8.1,8.7
5,6.9,8.36,9.3
7,7.2,8.07,9.4
7,6.7,7.84,9.8
4,7.9,9,10
5,6.7,7.6,8.7
1,6,6,6
10,7.1,7.6,8.1
3,5.5,5.63,5.8
6,6.4,6.83,7.2
6,8.2,9.32,10.5
4,8.8,9.45,9.8
8,8.7,9.54,10.3
6,7.8,9.22,10.8
10,6.5,7.07,7.6
2,6.2,6.3,6.4
4,6.6,7.13,8
3,6.7,7.37,7.9
10,6.6,7.47,8.4
5,7.6,9.22,11
7,7.5,8.03,9.2
13,5.5,7.02,10.2
6,6.7,7.42,9.4
5,6.5,6.54,6.6
7,8,8.61,9.2
4,7.3,7.88,8.7
2,6.4,6.45,6.5
15,6.5,7.25,8.1
6,5.8,5.93,6
5,6.6,7.46,8.1
6,6.7,8.07,9.8
9,6.8,7.66,8.8
6,6.5,7.07,8.2
4,6.7,6.83,7
4,8.6,9.1,9.8
8,9.3,9.76,10.3
5,6.3,6.78,7
3,6.7,6.87,7.1
8,6.2,6.74,7.2
6,6.9,8.57,9.3
6,6.1,10.4,14
3,8.9,9.13,9.5
3,8.3,9.17,9.6
2,10.7,10.85,11
2,8.6,8.95,9.3
4,7.4,8.2,9.7
3,7.1,7.8,8.5
8,6.8,7.53,8
4,8,10.35,12.2
14,6.3,7,7.7
3,10.1,11.1,12.8
7,6.5,7.71,10.4
6,7.1,8.45,9.3
4,6.5,6.63,6.8
3,5.5,5.77,6
6,5.6,5.93,6.4
8,7,7.7,9.5
5,6.6,7.12,8
4,7.2,7.55,7.8
4,5.8,5.93,6
2,8.1,8.7,9.3
6,7.5,8.28,9.5
6,6.8,8.28,9.8
1,8.6,8.6,8.6
7,8.1,9.59,11
10,7.6,8.21,10
6,8.8,9.82,11
9,5.3,6.02,6.8
7,6.3,8.03,9.8
2,11.2,11.25,11.3
4,8.8,9.18,9.8
10,7,7.98,9.5
9,6.4,6.72,7.1
4,6.3,7.25,9.6
3,5.6,6.03,6.6
6,7.5,8.52,9.9
7,5.8,6.16,6.5
2,10.2,11.1,12
9,6.5,6.7,7.2
6,6.3,6.7,7
5,6.2,6.98,8
7,7.3,8.13,9.8
6,7.3,11.23,16.6
9,8.8,9.42,10
6,8.3,9.15,11
6,9.1,10.15,11.7
4,8.4,9.03,9.8
6,7.7,8.35,9.2
7,6.7,7.57,8.3
4,7.5,8.15,8.6
10,8.6,10.45,12.4
3,8.8,9.03,9.3
4,7.3,9.23,11.6
4,8.2,8.48,8.7
6,7,7.23,7.6
5,5.6,5.98,6.3
5,6.2,6.52,6.8
6,6,7.03,7.8
4,9.4,10.88,12.3
6,7.6,8.42,9.4
17,6.5,7.29,8.5
6,6.3,6.9,8.3
6,6.4,6.63,7.1
6,7,7.45,7.7
4,8.6,9.18,10.4
3,5.2,5.37,5.5
8,6,6.73,7.9
14,5.8,6.66,8.1
4,7.4,7.78,8.5
4,6.1,7,7.5
7,7.4,8.27,9.1
2,9.5,9.55,9.6
5,7.6,8.56,10.4
4,8.4,9.53,10.2
6,8.7,10.23,11.5
10,8.8,11.8,13.9
7,6.3,6.69,7.1
7,5.5,6.89,7.8
9,6.9,7.7,9.5
11,8,8.89,9.5
15,6,6.65,7.4
4,6.8,7.1,7.6
2,8.1,8.9,9.7
8,7.4,8.9,10.3
11,7.6,8.52,9.2
6,7.9,9.1,10.3
6,9.9,11,12
5,10.6,14.3,17.9
9,6.4,7.4,8.9
5,9.1,9.82,10.4
2,6.6,6.75,6.9
8,8.2,10.43,12.1
9,7.7,8.34,9.3
13,5.6,6.46,7.6
3,5.2,5.43,5.8
8,6.3,7.05,7.7
4,6,7.45,10.6
2,11.4,11.5,11.6
2,7.4,7.85,8.3
7,7.8,9.23,10.1
5,6.9,7.54,8.7
5,6.3,6.58,6.8
1,7.7,7.7,7.7
6,6.8,7.77,9
4,6.9,7.43,7.9
3,6.9,7,7.2
4,6.3,7.13,8.6
9,7.7,8.43,10.2
1,12.3,12.3,12.3
3,6.7,7.33,8
2,8.9,9.25,9.6
2,8.9,9.9,10.9
2,5.8,5.8,5.8
1,5.6,5.6,5.6
3,6.2,6.27,6.3
3,6.2,6.87,7.4
4,5.9,6.58,7.4
4,7.1,7.4,7.7
5,7,7.62,8.5
3,6,6.6,6.9
3,5.8,6.23,6.5
3,8.9,10.47,12.7
5,8.1,9,10.2
7,7.2,7.53,8.1
4,5.3,5.75,6.2
10,4.8,6.19,7.4
11,7,8.77,9.7
10,7.2,7.73,8.5
11,8.3,9.35,11
10,7.5,8.16,8.7
2,10.6,10.85,11.1
1,14,14,14
6,5.8,6.93,8.3
7,7.5,9.04,10.3
2,9.5,9.75,10
3,8.2,8.87,9.5
3,6.7,6.8,6.9
5,6.2,7.86,10.1
7,7.7,8.14,8.7
3,8.2,8.93,10.1
3,6.6,6.77,7
6,5.9,7.15,8
9,5.5,7.46,10
5,7.4,7.86,8.6
4,8.9,10.9,12.8
1,8.1,8.1,8.1
10,5.9,6.37,7.3
3,9.4,10.03,10.8
7,6.1,6.73,7
10,6,6.85,7.5
6,7.4,7.97,8.3
3,8.8,11.7,14
2,5.8,6.8,7.8
9,7.6,8.61,9.5
8,6.7,7.55,9
11,6.7,7.21,7.6
6,7.3,7.95,8.5
6,6.7,7.42,9
5,5.6,6.1,6.5
2,9,9.1,9.2
2,12.1,12.8,13.5
1,7,7,7
9,6.3,7.81,9.3
11,6.2,7.22,8.7
5,6.2,6.5,6.7
4,6.4,11.08,17.4
1,7.6,7.6,7.6
3,10.6,11.13,12
2,6.2,6.25,6.3
5,6.3,7.14,7.7
4,8.3,9.68,11
7,4.1,4.87,5.6
11,6.7,8.67,10.5
4,8.3,8.4,8.5
7,9.4,10.64,11.6
2,7.7,7.9,8.1
4,7,8.08,9
3,8,9.2,9.9
6,9.3,10.62,12.7
11,5.8,7.28,9.3
4,4.6,4.85,5.1
1,8.7,8.7,8.7
12,5,5.97,7.5
5,7.6,7.68,7.8
1,7.5,7.5,7.5
4,5.8,5.95,6.1
5,6.3,6.8,7.1
5,7.3,7.58,7.9
1,9.1,9.1,9.1
12,6.4,6.88,7.6
13,8.7,9.4,10.2
6,7.9,8.43,8.9
3,7.8,9.17,10.2
6,7.8,8.1,8.9
5,9,9.38,10
3,7.1,7.2,7.3
4,5.6,5.85,6.1
6,8.6,8.97,9.3
5,6.2,6.54,7
4,8.4,9.28,10.2
7,6.5,7.2,8.1
5,9,9.36,10
7,8.4,9.01,9.9
5,6,6.14,6.4
7,6.9,7.5,8.1
2,5.5,5.7,5.9
1,4.6,4.6,4.6
5,6.8,7.4,7.8
5,7.4,7.7,8.2
5,5.8,6.74,7.6
8,10.4,11.03,11.8
2,6.3,6.75,7.2
3,10.4,11.93,13.2
1,7.3,7.3,7.3
9,7.6,8.22,9.6
4,6.2,6.35,6.7
4,11.6,12.15,12.7
4,6.2,6.68,7
5,8.7,9.56,10.1
5,6.6,7.3,8.5
3,7.4,8.23,8.7
4,6.1,6.25,6.3
6,5.4,5.62,6
3,6.9,7.5,8.5
5,6.4,7.02,7.6
5,6,6.52,6.9
4,7.6,7.75,7.9
4,5.8,7.3,8.5
7,5.6,8.74,17.7
5,8.1,10.3,11.6
8,5.5,6.03,6.6
4,6,6.3,7
6,6.6,7.78,9.7
2,9,9.85,10.7
13,6.2,7.95,10.6
3,8.6,9.4,9.9
9,6,6.36,6.6
5,8.7,9.32,10.2
3,5.6,5.73,6
8,5.9,6.38,6.9
3,5.1,5.43,5.7
3,7.1,7.37,7.6
3,7.6,7.67,7.8
8,7.8,8.16,8.9
4,10.6,11.5,12.2
5,7.4,7.72,8
13,8,9.73,10.4
2,12.2,12.25,12.3
5,8.1,8.6,9.1
7,9.6,10.66,11.5
7,9.8,11.37,13.6
5,7.4,8.44,9.2
4,5.9,6.33,6.8
1,11.9,11.9,11.9
2,5.9,6.75,7.6
6,7.3,7.63,7.8
1,9.4,9.4,9.4
2,8.6,9.1,9.6
4,6.3,6.7,7.4
9,7.1,7.59,8.4
2,8.9,8.9,8.9
4,6.5,6.7,6.9
5,8,8.96,11.1
3,6.3,6.87,7.3
2,11.8,12.8,13.8
3,6.2,6.63,7.3
4,7.9,8.75,9.7
2,7.1,8.1,9.1
3,6.8,7.33,7.8
14,6.3,7.09,7.6
7,9.8,11.63,13.5
2,9.9,10,10.1
7,6.3,8.06,9.9
8,6.8,7.4,7.7
6,8.3,9.97,11.2
5,6.1,6.28,6.5
2,8.9,11.4,13.9
5,7.5,7.92,8.4
4,11.5,12.25,13.2
5,6.8,7.42,8.2
4,6.8,12.48,15.6
5,7.5,8.5,9.4
6,7.1,7.92,8.8
6,6.5,6.85,7.1
6,6,6.93,8.2
4,7.5,8.38,8.8
8,5.7,6.24,7
11,6.7,9.35,10.6
6,7.2,7.98,9.3
11,5.9,6.88,7.5
7,6.8,8.24,9.4
6,6.8,7.43,8.8
4,6.6,6.93,7.1
6,6.8,7.78,9.3
4,5.5,5.93,6.2
4,5.8,7.05,9.3
5,8.4,9.3,10
9,10.1,11.72,13.9
8,6.5,6.93,7.8
5,5.2,6.06,6.6
4,7.8,7.98,8.1
5,5.2,5.88,6.4
6,6.8,7.83,8.6
8,6,7.04,8
6,7.7,8.08,9.2
7,6.9,7.37,7.8
3,6.4,6.87,7.4
2,6.9,7,7.1
5,7.2,8.88,9.6
6,6.4,6.93,7.5
5,8.7,9.4,10.3
4,7.9,9.55,11.2
3,8.6,10.37,13.8
3,5.4,6.2,6.9
1,5,5,5
4,7.2,7.73,8.7
7,7.7,9.76,11.2
9,5.3,6.52,9.6
2,4.7,4.8,4.9
5,6.2,6.36,6.5
2,9.2,9.65,10.1
8,9.5,9.94,10.9
4,6.1,6.9,7.3
5,7.8,8.58,10.1
7,5.1,5.53,5.8
5,7.6,8.68,10.1
6,5.4,5.9,6.6
6,7.9,8.92,10.6
2,8.3,8.55,8.8
7,9,10.06,12
4,8.3,8.53,8.9
4,6.1,6.58,6.9
6,7.7,9.55,12.1
14,7,8.84,11.6
7,6.8,7.59,8.7
9,7.4,8.04,8.5
14,7.1,7.68,8.3
6,7.9,8.95,11.9
3,8.1,8.5,9.1
7,7,7.53,7.8
8,5.4,6.1,8.8
4,7,7.48,7.9
4,7.4,8,8.5
3,7.2,7.47,7.8
5,5.3,5.52,5.8
1,14,14,14
7,5.9,6.13,6.6
1,8.5,8.5,8.5
11,5.5,6.23,6.5
3,7.4,8.13,9.4
4,7,8.55,9.1
4,7.4,7.65,7.9
5,12.5,13.74,14.8
6,7,7.83,8.5
1,9.4,9.4,9.4
6,5.2,5.4,5.8
5,6.8,7.38,8.5
11,5.9,6.16,6.6
5,5.5,6,7
17,8,8.8,10.5
5,6.8,7.22,7.5
3,6.1,6.27,6.4
2,4.4,4.85,5.3
10,10.9,12.2,14
3,7,7.47,7.9
12,6.5,7.1,8.1
6,6.4,7.35,7.8
6,6.1,6.75,7.8
3,7.4,7.77,8.3
7,6.6,7.27,8
4,6,6.63,7.6
6,7.9,9.42,11.2
7,6.6,7.04,8
3,9.1,10.93,14
9,7,7.66,8.8
2,13.2,13.6,14
11,6.5,6.98,7.5
4,9.5,9.85,10.3
4,6,6.5,6.8
8,5.6,6.29,7
3,6,6.13,6.3
4,6.3,6.88,7.8
10,5.5,7,7.9
3,16,16.63,17.8
5,8.8,10.1,10.9
4,7.1,7.35,7.9
5,7.8,8.54,10.7
3,7.7,8.2,9
3,7.4,7.63,8
5,7.2,8.26,9.9
1,8.7,8.7,8.7
2,7.8,8,8.2
1,11.7,11.7,11.7
3,7.9,8.53,8.9
2,9.8,10.95,12.1
6,8,8.58,9.5
6,6.7,7.68,8.2
8,7.3,8.89,10.8
4,5.9,6.3,6.8
4,5.4,6.28,6.9
10,5.2,8.24,10.4
13,4.4,4.95,5.6
5,7.7,8.58,9.4
3,7.2,7.87,8.3
4,6.1,6.75,7.9
11,6.8,7.89,8.6
5,9.4,9.78,10.1
3,8,8.43,8.7
6,5.5,5.6,5.9
4,7.3,7.48,7.7
9,5.1,5.46,5.8
5,6.1,6.36,6.9
6,6.4,7.77,10
2,8.8,8.9,9
6,7,8.05,9.4
1,5.9,5.9,5.9
6,7.2,7.82,8.9
4,7.7,8.23,8.6
4,7.1,7.35,7.8
8,6.8,7.71,8.8
6,5.7,6.08,6.4
9,5.6,6.06,6.9
4,8.7,9.68,12.1
5,7,7.64,8.3
4,9.6,10.83,11.9
8,6.3,6.81,8
4,5.9,6.63,7.1
4,5.4,6.3,7.6
4,7.4,9.75,11.6
5,7.6,7.96,8.2
3,6.6,6.77,7
5,6.5,6.92,7.3
1,6.3,6.3,6.3
5,9.9,10.1,10.4
6,7.7,8.15,8.5
5,6.9,7.66,8.3
5,7.5,10.36,11.7
1,12.3,12.3,12.3
5,7.6,8.68,9.6
5,5.8,6.22,6.5
5,5.6,5.88,6.2
4,6.7,8.25,9
5,5.7,6.06,6.5
7,7.6,9.27,11.5
2,11.9,12.55,13.2
1,8.5,8.5,8.5
6,6.5,7.48,8.4
1,5.5,5.5,5.5
3,7.5,8.87,10.5
4,8.5,8.98,9.5
4,6.4,7.1,7.9
5,6.3,7.24,8
5,9.1,9.94,10.6
10,6.2,6.88,7.5
4,7.4,7.98,9.5
3,6,6.63,7.6
5,7.3,7.78,8.7
6,7.9,10.25,13.1
6,5.2,6.55,9.6
2,9.3,9.45,9.6
2,6.9,6.95,7
4,5.9,6.15,6.5
4,5.9,6.85,7.4
3,8.6,8.83,9.3
6,8,8.55,9.4
2,6.2,6.55,6.9
4,6.1,6.78,7.9
3,7.7,8.03,8.3
12,7.3,9.2,10.8
